title,destination,duration,price,description,category,difficulty,groupSize,bestTime,availability,originalPrice,rating,reviews,images,itinerary,inclusions,exclusions
Shillong Meadows & Dawki - 14 days,Shillong Meadows & Dawki,14 days,29392,"Shillong Meadows & Dawki - 14 days: A curated 14 days package to Shillong Meadows & Dawki covering major highlights, comfortable stays and local experiences.",Mountain,Moderate,5-12 people,Spring,29,47957,4.8,676,"https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4",Day 1: Arrival at Shillong Meadows & Dawki; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Andaman Scuba Diving Package - 10 days,Andaman Scuba Diving Package,10 days,17708,"Andaman Scuba Diving Package - 10 days: A curated 10 days package to Andaman Scuba Diving Package covering major highlights, comfortable stays and local experiences.",Beach,Challenging,10-20 people,Autumn,12,34396,4.2,1473,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg",Day 1: Arrival at Andaman Scuba Diving Package; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Goa Party Weekend (3 nights) - 6 days,Goa Party Weekend,6 days,59860,"Goa Party Weekend (3 nights) - 6 days: A curated 6 days package to Goa Party Weekend covering major highlights, comfortable stays and local experiences.",Beach,Moderate,1-4 people,Winter,38,84382,5,1181,"https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg",Day 1: Arrival at Goa Party Weekend; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
"Kerala Family Package (Kochi, Munnar, Alleppey) - 8 days",Kerala Family Package,8 days,124002,"Kerala Family Package (Kochi, Munnar, Alleppey) - 8 days: A curated 8 days package to Kerala Family Package covering major highlights, comfortable stays and local experiences.",Adventure,Moderate,5-12 people,Summer,6,134845,3.6,207,"https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg",Day 1: Arrival at Kerala Family Package; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
"Rajasthan Royal Palaces (Udaipur, Jodhpur, Jaipur, Jaisalmer) - 14 days",Rajasthan Royal Palaces,14 days,131534,"Rajasthan Royal Palaces (Udaipur, Jodhpur, Jaipur, Jaisalmer) - 14 days: A curated 14 days package to Rajasthan Royal Palaces covering major highlights, comfortable stays and local experiences.",Heritage,Challenging,10-20 people,Year-round,6,139304,4,780,"https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg",Day 1: Arrival at Rajasthan Royal Palaces; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Shimla-Kullu-Manali Deluxe (Custom) - 7 days,Shimla-Kullu-Manali Deluxe,7 days,134191,"Shimla-Kullu-Manali Deluxe (Custom) - 7 days: A curated 7 days package to Shimla-Kullu-Manali Deluxe covering major highlights, comfortable stays and local experiences.",Mountain,Moderate,10-20 people,Year-round,26,137606,5,1396,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg",Day 1: Arrival at Shimla-Kullu-Manali Deluxe; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Andaman Islands (Custom) - 2 days,Andaman Islands,2 days,97352,"Andaman Islands (Custom) - 2 days: A curated 2 days package to Andaman Islands covering major highlights, comfortable stays and local experiences.",Beach,Challenging,1-4 people,Winter,16,118650,4.2,1072,"https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg",Day 1: Arrival at Andaman Islands; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Kodaikanal (Custom) - 10 days,Kodaikanal,10 days,92851,"Kodaikanal (Custom) - 10 days: A curated 10 days package to Kodaikanal covering major highlights, comfortable stays and local experiences.",Romantic,Easy,5-12 people,Autumn,29,110636,4.9,1764,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg",Day 1: Arrival at Kodaikanal; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Heritage Hyderabad & Charminar (Custom) - 2 days,Heritage Hyderabad & Charminar,2 days,56649,"Heritage Hyderabad & Charminar (Custom) - 2 days: A curated 2 days package to Heritage Hyderabad & Charminar covering major highlights, comfortable stays and local experiences.",Cultural,Moderate,5-12 people,Winter,10,77484,3.7,589,"https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg",Day 1: Arrival at Heritage Hyderabad & Charminar; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Ajanta-Ellora Caves & Aurangabad (Custom) - 2 days,Ajanta-Ellora Caves & Aurangabad,2 days,46337,"Ajanta-Ellora Caves & Aurangabad (Custom) - 2 days: A curated 2 days package to Ajanta-Ellora Caves & Aurangabad covering major highlights, comfortable stays and local experiences.",Cultural,Moderate,5-12 people,Autumn,19,71078,5,397,"https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4",Day 1: Arrival at Ajanta-Ellora Caves & Aurangabad; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Kerala Ayurveda Retreat (Custom) - 2 days,Kerala Ayurveda Retreat,2 days,144487,"Kerala Ayurveda Retreat (Custom) - 2 days: A curated 2 days package to Kerala Ayurveda Retreat covering major highlights, comfortable stays and local experiences.",Luxury,Moderate,1-4 people,Summer,36,156498,3.7,344,"https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg, https://images.unsplash.com/photo-1491553895911-0055eca6402d",Day 1: Arrival at Kerala Ayurveda Retreat; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Sula Vineyard & Nashik (Custom) - 14 days,Sula Vineyard & Nashik,14 days,96824,"Sula Vineyard & Nashik (Custom) - 14 days: A curated 14 days package to Sula Vineyard & Nashik covering major highlights, comfortable stays and local experiences.",Adventure,Moderate,5-12 people,Summer,35,100057,4.4,1102,"https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg",Day 1: Arrival at Sula Vineyard & Nashik; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Puri & Konark (Custom) - 12 days,Puri & Konark,12 days,137533,"Puri & Konark (Custom) - 12 days: A curated 12 days package to Puri & Konark covering major highlights, comfortable stays and local experiences.",Luxury,Easy,1-4 people,Winter,23,153862,3.8,573,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg",Day 1: Arrival at Puri & Konark; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
